location,location_type,total_jobs_added_2008_2018,jobs_per_1_000_residents_2008_2018,total_building_permits_2008_2018,permits_per_1_000_residents_2008_2018,jobs_per_permit_2008_2018,multi_family_permit_share_1990_2005,multi_family_permit_share_2006_2018,average_size_of_multi_family_properties_1990_2005,average_size_of_multi_family_properties_2006_2018
"Chilton County, AL",County,589,1.3,354,0.8,1.7,28.4%,24.8%,7.2,6.3
"Coffee County, AL",County,1214,2.4,1193,2.3,1,16.8%,16.4%,9.3,11.9
"Colbert County, AL",County,1745,3.2,1367,2.5,1.3,27.0%,18.8%,4.9,8.3
"Cullman County, AL",County,1493,1.8,775,0.9,1.9,41.7%,10.6%,9.3,3.7
"Dale County, AL",County,-1356,-2.7,451,0.9,-3,17.2%,21.6%,4.5,24.8
"Dallas County, AL",County,-2361,-5.8,299,0.7,-7.9,64.4%,29.7%,3.7,15.3
"Elmore County, AL",County,1738,2.1,1541,1.9,1.1,14.3%,24.6%,6.4,7.1
"Etowah County, AL",County,496,0.5,972,0.9,0.5,20.8%,7.0%,11.3,6.4
"Geneva County, AL",County,-1123,-4.2,113,0.4,-9.9,4.9%,0.0%,2.3,NA
"Houston County, AL",County,-1221,-1.2,3339,3.2,-0.4,19.0%,16.2%,7.3,11.2
"Jackson County, AL",County,-1258,-2.4,312,0.6,-4,6.4%,0.0%,4.5,NA
"Jefferson County, AL",County,-9145,-1.4,17997,2.7,-0.5,22.3%,30.1%,15.2,24
"Lauderdale County, AL",County,-909,-1,2035,2.2,-0.4,37.9%,52.5%,7.3,8
"Lawrence County, AL",County,-1388,-4.2,7,0,-198.3,26.2%,0.0%,4.5,NA
"Lee County, AL",County,9667,6.2,9777,6.2,1,41.0%,23.1%,5.2,12.4
"Limestone County, AL",County,1494,1.6,1199,1.3,1.2,16.1%,8.4%,7.5,6.6
"Madison County, AL",County,17811,5,24996,7.1,0.7,20.3%,16.9%,10.8,16.7
"Marshall County, AL",County,135,0.1,461,0.5,0.3,13.4%,17.0%,5.5,4.8
"Mobile County, AL",County,-4304,-1,11599,2.8,-0.4,15.3%,31.0%,12,14.6
"Montgomery County, AL",County,-7059,-3.1,5677,2.5,-1.2,21.7%,25.3%,8.7,17
"Morgan County, AL",County,-891,-0.7,1417,1.2,-0.6,14.3%,4.5%,6.1,6
"Pike County, AL",County,-40,-0.1,966,2.9,0,47.9%,53.3%,6,10.9
"St. Clair County, AL",County,2643,3,1387,1.6,1.9,24.2%,5.2%,7,5
"Shelby County, AL",County,9462,4.5,8189,3.9,1.2,4.7%,4.4%,8.6,13
"Talladega County, AL",County,1030,1.3,650,0.8,1.6,24.0%,40.2%,7.3,6.2
"Tuscaloosa County, AL",County,8142,4,9646,4.7,0.8,31.2%,54.2%,11.8,12.4
"Walker County, AL",County,-662,-1,104,0.2,-6.4,15.2%,15.5%,8.9,13.7
"Anchorage Municipality, AK",County,147,0,7119,2.4,0,NA,21.2%,NA,6.8
"Fairbanks North Star Borough, AK",County,-175,-0.2,317,0.3,-0.6,21.9%,12.1%,3.5,2.3
"Juneau City and Borough, AK",County,-339,-1,878,2.7,-0.4,NA,48.4%,NA,4.9
"Matanuska-Susitna Borough, AK",County,4885,4.8,913,0.9,5.4,33.5%,44.5%,3.8,3.4
"Cochise County, AZ",County,-4206,-3.3,2754,2.2,-1.5,5.9%,10.9%,5.1,9.5
"Coconino County, AZ",County,3735,2.7,5209,3.8,0.7,24.7%,34.8%,7.4,14.8
"Gila County, AZ",County,107,0.2,1102,2.1,0.1,10.0%,18.1%,5.2,6.5
"Graham County, AZ",County,-288,-0.8,998,2.6,-0.3,10.4%,16.3%,6.2,6.6
"Maricopa County, AZ",County,223862,5.4,169779,4.1,1.3,19.0%,31.2%,10.7,15.1
"Mohave County, AZ",County,253,0.1,5319,2.6,0,11.4%,8.8%,4.1,3.2
"Navajo County, AZ",County,-1177,-1.1,1930,1.8,-0.6,8.6%,9.4%,5,5.9
"Pima County, AZ",County,-1059,-0.1,29684,2.9,0,13.3%,17.5%,7.2,10.9
"Pinal County, AZ",County,7191,1.8,23559,5.8,0.3,5.6%,2.0%,5.2,2.3
"Santa Cruz County, AZ",County,-599,-1.3,679,1.5,-0.9,17.7%,10.0%,3.8,6.1
"Yavapai County, AZ",County,3845,1.7,10444,4.7,0.4,13.7%,12.8%,3.8,8.4
"Yuma County, AZ",County,1808,0.9,7261,3.6,0.2,8.2%,3.7%,8.4,5.9
"Baxter County, AR",County,105,0.3,327,0.8,0.3,42.6%,39.5%,3.6,4.4
"Benton County, AR",County,24599,9.8,20282,8.1,1.2,28.1%,27.5%,5,7.7
"Boone County, AR",County,194,0.5,275,0.7,0.7,15.3%,13.6%,8.3,19
"Craighead County, AR",County,8751,8.4,7152,6.9,1.2,27.0%,35.0%,7.2,5.3
"Crawford County, AR",County,-517,-0.8,999,1.6,-0.5,16.6%,25.2%,3.5,4.8
"Faulkner County, AR",County,1314,1.1,5049,4.2,0.3,32.3%,43.9%,7.2,7.9
"Garland County, AR",County,117,0.1,474,0.5,0.2,20.5%,5.3%,7.2,10
"Greene County, AR",County,479,1.1,1610,3.6,0.3,21.3%,30.3%,4.1,2.7
"Hot Spring County, AR",County,678,2,29,0.1,23.4,41.1%,30.8%,4.3,2.9
"Independence County, AR",County,457,1.2,365,1,1.3,36.4%,42.7%,3.4,5.1
"Jefferson County, AR",County,-5029,-7,750,1.1,-6.7,32.4%,44.3%,5,5.5
"Lonoke County, AR",County,1260,1.8,3412,4.8,0.4,12.2%,12.8%,4.9,9.9
"Mississippi County, AR",County,-2173,-5,406,0.9,-5.4,15.7%,35.2%,2.9,3
"Pope County, AR",County,-952,-1.5,994,1.6,-1,36.8%,26.1%,4.9,4.5
"Pulaski County, AR",County,659,0.2,14541,3.7,0,30.0%,40.1%,9.8,13.8
"St. Francis County, AR",County,-926,-3.5,102,0.4,-9.1,44.7%,29.8%,4.5,21
"Saline County, AR",County,3373,2.9,4887,4.2,0.7,19.4%,17.1%,8.3,9.2
"Sebastian County, AR",County,-7577,-5.9,4093,3.2,-1.9,34.6%,39.0%,4.9,2.9
"Union County, AR",County,-1964,-4.9,517,1.3,-3.8,31.4%,80.9%,7.7,8.4
"Washington County, AR",County,16654,7.4,9962,4.5,1.7,47.0%,27.0%,5.4,8.1
"White County, AR",County,-825,-1,1488,1.9,-0.6,33.3%,39.4%,7.6,7.2
"Alameda County, CA",County,102971,6.3,42603,2.6,2.4,36.7%,63.9%,14.2,23.2
"Butte County, CA",County,8039,3.6,5377,2.4,1.5,17.0%,28.1%,5.3,8.2
"Contra Costa County, CA",County,28919,2.6,20245,1.8,1.4,17.9%,28.5%,11.4,19.3
"Del Norte County, CA",County,-377,-1.4,295,1.1,-1.3,16.3%,28.6%,5.7,7.1
"El Dorado County, CA",County,6040,3.3,3757,2,1.6,10.5%,5.1%,7,7.5
"Fresno County, CA",County,35802,3.7,23694,2.4,1.5,16.8%,20.3%,5.6,7.2
"Humboldt County, CA",County,1052,0.8,2332,1.7,0.5,23.2%,35.6%,4.4,5.5
"Imperial County, CA",County,3057,1.7,2490,1.4,1.2,22.2%,23.4%,8.1,7.8
"Kern County, CA",County,39849,4.5,20570,2.3,1.9,9.5%,18.6%,4.9,4.5
"Kings County, CA",County,5212,3.5,3462,2.3,1.5,10.2%,17.5%,4.7,5.5
"Lake County, CA",County,1147,1.8,912,1.4,1.3,9.1%,14.4%,5.2,8.9
"Lassen County, CA",County,-627,-2,116,0.4,-5.4,8.6%,6.2%,2.6,2.8
"Los Angeles County, CA",County,274385,2.7,153530,1.5,1.8,48.9%,71.6%,10.9,17.7
"Madera County, CA",County,3880,2.5,2622,1.7,1.5,12.8%,10.5%,4.4,5.7
"Marin County, CA",County,6463,2.5,2501,1,2.6,31.3%,44.7%,9.8,9.3
"Mendocino County, CA",County,641,0.7,1271,1.5,0.5,6.8%,9.8%,3,5.4
"Merced County, CA",County,10557,3.9,2954,1.1,3.6,5.4%,8.2%,6,6.3
"Monterey County, CA",County,23147,5.3,4394,1,5.3,16.1%,36.5%,5.8,8.4
"Napa County, CA",County,10035,7.1,1705,1.2,5.9,18.1%,30.1%,9.4,7.2
"Nevada County, CA",County,1577,1.6,2320,2.3,0.7,11.2%,15.3%,4.8,6
"Orange County, CA",County,144891,4.6,74743,2.4,1.9,38.8%,58.4%,9.6,15.4
"Placer County, CA",County,32387,8.6,17638,4.7,1.8,16.1%,12.7%,10,12.7
"Riverside County, CA",County,127223,5.4,59007,2.5,2.2,12.0%,19.5%,8.2,10.2
"Sacramento County, CA",County,37339,2.5,24493,1.6,1.5,18.4%,25.0%,9.5,12.9
"San Benito County, CA",County,1309,2.2,2208,3.8,0.6,5.8%,0.7%,5.2,2.4
"San Bernardino County, CA",County,102679,4.8,34195,1.6,3,12.3%,24.4%,8.8,8.1
"San Diego County, CA",County,147378,4.5,73564,2.2,2,37.6%,61.1%,9.1,15.4
"San Francisco County, CA",County,167695,19.4,30135,3.5,5.6,92.5%,98.3%,12.2,42.1
"San Joaquin County, CA",County,32142,4.4,16431,2.3,2,5.1%,11.2%,6.9,9.4
"San Luis Obispo County, CA",County,13395,4.8,7033,2.5,1.9,11.6%,25.3%,5.1,6.2
"San Mateo County, CA",County,61801,8.1,11102,1.5,5.6,42.7%,65.1%,12.3,26.6
"Santa Barbara County, CA",County,11158,2.5,6610,1.5,1.7,27.0%,38.9%,5.1,8.7
"Santa Clara County, CA",County,191757,10,58733,3.1,3.3,53.5%,73.0%,14.5,28.7
"Santa Cruz County, CA",County,7456,2.7,2994,1.1,2.5,27.8%,42.0%,7.3,8.5
"Shasta County, CA",County,1079,0.6,2748,1.5,0.4,13.9%,16.8%,4.7,6.1
"Solano County, CA",County,15200,3.5,7674,1.8,2,17.4%,14.4%,7.4,14.8
"Sonoma County, CA",County,19663,3.9,9817,2,2,22.8%,26.2%,7.5,9.6
"Stanislaus County, CA",County,18324,3.4,4342,0.8,4.2,7.7%,16.3%,4.8,9.9
"Sutter County, CA",County,3252,3.4,810,0.8,4,7.9%,16.0%,5.3,6
"Tehama County, CA",County,1505,2.4,817,1.3,1.8,8.8%,14.2%,3.2,3.9
"Tulare County, CA",County,13439,2.9,11530,2.5,1.2,10.5%,16.6%,3.8,5.7
"Tuolumne County, CA",County,-299,-0.6,513,1,-0.6,10.9%,1.3%,5.6,2.6
"Ventura County, CA",County,12562,1.5,11202,1.3,1.1,25.0%,52.0%,8.5,9.5
"Yolo County, CA",County,2614,1.2,4535,2.1,0.6,27.5%,31.6%,7.4,11.6
"Yuba County, CA",County,792,1.1,1666,2.2,0.5,3.6%,6.7%,4.2,6.5
"Adams County, CO",County,58123,11.9,15297,3.1,3.8,23.6%,17.5%,9.7,10.9
"Arapahoe County, CO",County,49133,7.8,23759,3.8,2.1,35.3%,43.0%,13.9,24.9
"Boulder County, CO",County,21241,6.7,13673,4.3,1.6,25.0%,57.9%,9.3,13.7
"Denver County, CO",County,69618,10.3,56357,8.3,1.2,51.4%,72.8%,10.9,26.6
"Douglas County, CO",County,31985,10,25053,7.8,1.3,15.0%,27.8%,12.1,23
"Eagle County, CO",County,1007,1.9,2015,3.8,0.5,41.6%,24.9%,5.1,5.8
"El Paso County, CO",County,31413,4.7,34374,5.1,0.9,15.6%,20.3%,12.2,18.7
"Fremont County, CO",County,-30,-0.1,700,1.5,0,5.9%,6.0%,3.7,4.2
"Garfield County, CO",County,-2403,-4.1,1069,1.8,-2.2,15.0%,19.6%,3.9,5.6
"Jefferson County, CO",County,27392,4.9,16131,2.9,1.7,25.9%,43.1%,11.1,19.9
"La Plata County, CO",County,569,1,2775,5.1,0.2,14.3%,22.2%,4.8,7
"Larimer County, CO",County,30998,9.4,21384,6.5,1.4,21.1%,38.8%,6.7,13.1
"Mesa County, CO",County,-1804,-1.2,5101,3.4,-0.4,8.9%,8.5%,3.3,6.1
"Montrose County, CO",County,173,0.4,1273,3.1,0.1,14.8%,11.1%,3.4,5.4
"Morgan County, CO",County,1272,4.5,456,1.6,2.8,8.3%,11.2%,3.2,5.1
"Pueblo County, CO",County,4074,2.5,2721,1.7,1.5,14.2%,11.4%,3,4.6
"Summit County, CO",County,2829,9.5,2593,8.7,1.1,42.8%,29.6%,7.9,12.4
"Weld County, CO",County,26661,9.3,22345,7.8,1.2,9.7%,17.6%,5.7,10
"Fairfield County, CT",County,1329,0.1,16907,1.8,0.1,27.4%,53.1%,9.6,17.4
"Hartford County, CT",County,6112,0.7,9527,1.1,0.6,16.8%,39.6%,7.8,9.6
"Litchfield County, CT",County,-1726,-0.9,1432,0.8,-1.2,4.3%,6.4%,6.5,4.3
"Middlesex County, CT",County,-1588,-1,2402,1.5,-0.7,10.5%,24.3%,6.6,7.4
"New Haven County, CT",County,2350,0.3,8836,1,0.3,20.0%,45.5%,8.9,10.7
"New London County, CT",County,-6962,-2.6,4111,1.5,-1.7,14.0%,30.4%,7.8,8.4
"Tolland County, CT",County,-512,-0.3,2747,1.8,-0.2,10.3%,39.0%,7.2,8.1
"Kent County, DE",County,4092,2.4,10401,6,0.4,13.2%,14.8%,8.4,9.5
"Washington DC, DC",County,86245,12.8,38042,5.7,2.3,85.1%,91.9%,44.7,54.5
"Alachua County, FL",County,9598,3.7,9484,3.6,1,42.6%,49.9%,10.9,20.2
"Baker County, FL",County,165,0.6,625,2.3,0.3,2.5%,4.3%,2,3.4
"Bay County, FL",County,5306,2.9,7593,4.2,0.7,42.6%,40.7%,15.6,11.7
"Brevard County, FL",County,15450,2.7,17352,3.1,0.9,16.1%,18.7%,11.8,18
"Broward County, FL",County,75423,4,33072,1.7,2.3,35.2%,58.2%,15.1,21.7
"Charlotte County, FL",County,5808,3.4,7684,4.4,0.8,22.7%,17.2%,5.9,4.7
"Citrus County, FL",County,-988,-0.7,3759,2.7,-0.3,1.4%,5.2%,3.9,4.9
"Clay County, FL",County,6181,3,8314,4.1,0.7,5.5%,14.5%,9.2,8.9
"Collier County, FL",County,22937,6.4,27892,7.8,0.8,50.4%,31.3%,8.4,8.8
"Columbia County, FL",County,1470,2.1,904,1.3,1.6,3.4%,0.5%,3,2.3
"DeSoto County, FL",County,218,0.6,984,2.8,0.2,32.5%,2.5%,5,2.5
"Duval County, FL",County,53195,5.8,39735,4.4,1.3,30.6%,42.2%,14,20.5
"Escambia County, FL",County,9498,3.1,9364,3,1,19.8%,24.4%,8.1,10.8
"Flagler County, FL",County,5859,5.6,5784,5.5,1,10.8%,14.0%,3.8,6.1
"Gadsden County, FL",County,-1067,-2.3,2586,5.6,-0.4,4.2%,0.1%,3.1,2
"Hardee County, FL",County,-1063,-3.9,211,0.8,-5,15.5%,1.9%,7.7,2
"Hendry County, FL",County,-235,-0.6,517,1.3,-0.5,5.1%,12.5%,3.7,3.3
"Hernando County, FL",County,6406,3.6,4957,2.8,1.3,6.7%,12.2%,5.2,14.7
"Highlands County, FL",County,-1101,-1.1,1273,1.3,-0.9,11.7%,13.7%,2.8,7.2
"Hillsborough County, FL",County,73026,5.4,74945,5.5,1,33.4%,34.3%,11.9,23.8
"Indian River County, FL",County,3490,2.4,7017,4.7,0.5,19.9%,6.0%,7.3,6.6
"Lake County, FL",County,14280,4.4,20477,6.3,0.7,10.6%,14.4%,8.8,13.7
"Lee County, FL",County,53223,7.6,42092,6,1.3,33.9%,27.4%,6.8,9.3
"Leon County, FL",County,7923,2.8,10955,3.8,0.7,35.6%,49.7%,8.4,16.1
"Manatee County, FL",County,11123,3.1,29260,8,0.4,24.6%,27.7%,8.5,11.5
"Marion County, FL",County,2202,0.6,10567,3.1,0.2,7.7%,6.2%,6.4,5.8
"Martin County, FL",County,10701,6.9,3435,2.2,3.1,28.4%,10.8%,5.3,5.3
"Monroe County, FL",County,3523,4.6,2392,3.1,1.5,16.6%,23.7%,7.1,5.4
"Nassau County, FL",County,3768,4.8,6840,8.7,0.6,9.9%,14.3%,6.2,12.3
"Okaloosa County, FL",County,5491,2.8,7861,4,0.7,29.7%,18.3%,16,19.2
"Okeechobee County, FL",County,990,2.5,408,1,2.4,2.2%,4.6%,2.6,2.7
"Orange County, FL",County,160128,12.4,78355,6.1,2,37.7%,43.7%,14.1,19.3
"Osceola County, FL",County,22209,6.8,36997,11.4,0.6,28.3%,32.8%,13.7,23.6
"Palm Beach County, FL",County,75498,5.3,39598,2.8,1.9,29.6%,42.8%,11.8,17.9
"Pasco County, FL",County,18989,3.8,25200,5.1,0.8,16.1%,22.9%,4.8,7.9
"Pinellas County, FL",County,14465,1.5,18527,2,0.8,39.9%,54.8%,15,30.3
"Polk County, FL",County,18994,2.9,27147,4.2,0.7,13.4%,10.6%,7.8,13.3
"Putnam County, FL",County,-1964,-2.7,484,0.7,-4.1,13.0%,6.1%,9.2,19
"St. Johns County, FL",County,19957,8.8,28822,12.7,0.7,17.7%,8.2%,11.1,10.6
"St. Lucie County, FL",County,7280,2.4,10921,3.7,0.7,17.3%,17.5%,8.8,7.4
"Santa Rosa County, FL",County,6854,4.1,10771,6.5,0.6,3.7%,4.2%,5.3,9.3
"Sarasota County, FL",County,23088,5.7,24739,6.1,0.9,24.0%,26.4%,11.5,14.6
"Seminole County, FL",County,21410,4.8,15776,3.5,1.4,27.8%,32.6%,13.2,19.5
"Sumter County, FL",County,11072,9.5,23484,20.1,0.5,1.0%,1.5%,4.6,9.6
"Volusia County, FL",County,11633,2.2,13950,2.7,0.8,18.7%,18.8%,15.1,14.2
"Wakulla County, FL",County,111,0.4,1260,4,0.1,1.7%,0.0%,3.4,NA
"Walton County, FL",County,6823,10.8,10359,16.3,0.7,35.8%,13.5%,16,7.6
"Baldwin County, GA",County,-4077,-9,909,2,-4.5,35.3%,40.5%,3.4,6.4
"Barrow County, GA",County,3771,5,3505,4.7,1.1,1.8%,9.0%,5.6,15.8
"Bartow County, GA",County,4352,4.2,3084,3,1.4,13.2%,8.3%,5.8,8.9
"Bibb County, GA",County,-2180,-1.4,1820,1.2,-1.2,25.8%,37.7%,8.7,18.2
"Bryan County, GA",County,2598,7.4,3780,10.8,0.7,8.8%,12.6%,7,8.9
"Bulloch County, GA",County,2380,3.2,3551,4.8,0.7,33.6%,23.5%,6.6,6.2
"Camden County, GA",County,-861,-1.6,2133,4.1,-0.4,5.6%,17.5%,2.6,14.3
"Carroll County, GA",County,2743,2.4,2401,2.1,1.1,11.6%,13.1%,6.8,12.1
"Chatham County, GA",County,19573,6.9,11387,4,1.7,28.7%,25.9%,9.6,11.7
"Cherokee County, GA",County,14304,6.1,16412,7,0.9,11.4%,13.7%,17.2,22.2
"Clarke County, GA",County,3270,2.6,3490,2.8,0.9,46.9%,54.4%,7.5,16.4
"Clayton County, GA",County,9391,3.4,3027,1.1,3.1,16.1%,0.7%,13.2,8.3
"Cobb County, GA",County,48205,6.5,22910,3.1,2.1,17.7%,41.1%,19,11.2
"Coffee County, GA",County,1289,3,538,1.2,2.4,10.1%,9.5%,5.8,4.4
"Colquitt County, GA",County,-1085,-2.4,718,1.6,-1.5,39.0%,17.8%,5.8,7.3
"Columbia County, GA",County,3856,2.7,12764,8.9,0.3,4.0%,2.7%,12.1,5.5
"Coweta County, GA",County,7321,5.3,7224,5.2,1,8.2%,12.3%,13.5,17.8
"Decatur County, GA",County,-1296,-4.8,343,1.3,-3.8,10.0%,5.4%,4.2,3.2
"DeKalb County, GA",County,4204,0.6,15989,2.2,0.3,35.2%,54.2%,20.5,40.7
"Dougherty County, GA",County,-2467,-2.7,647,0.7,-3.8,34.3%,40.9%,4.1,2.8
"Douglas County, GA",County,3064,2.2,2247,1.6,1.4,17.6%,6.0%,17.2,24
"Effingham County, GA",County,742,1.3,4519,7.9,0.2,2.7%,2.6%,2.4,6.7
"Fayette County, GA",County,4653,4.2,3243,2.9,1.4,6.1%,10.1%,8.9,30.7
"Floyd County, GA",County,-457,-0.5,1141,1.2,-0.4,24.5%,19.8%,2.9,6
"Forsyth County, GA",County,16969,8,25015,11.8,0.7,1.3%,14.8%,6.2,25.3
"Fulton County, GA",County,133743,13.2,64563,6.4,2.1,48.5%,60.9%,29.2,79.4
"Glynn County, GA",County,-569,-0.7,4178,5,-0.1,17.9%,0.3%,6.3,4
"Gordon County, GA",County,1679,3,927,1.6,1.8,21.0%,21.6%,5.9,6.6
"Gwinnett County, GA",County,36677,4.1,27554,3.1,1.3,15.2%,12.4%,18.9,22.3
"Habersham County, GA",County,91,0.2,853,1.9,0.1,8.3%,14.6%,6.5,9.6
"Hall County, GA",County,14016,7.3,7893,4.1,1.8,13.9%,16.2%,10.1,13.3
"Haralson County, GA",County,-1080,-3.8,319,1.1,-3.4,5.7%,6.0%,2.6,11.7
"Harris County, GA",County,1236,3.7,1377,4.1,0.9,0.5%,0.0%,3.3,NA
"Henry County, GA",County,11561,5.3,8905,4.1,1.3,11.0%,9.1%,12.9,14.1
"Houston County, GA",County,4521,3,8177,5.4,0.6,14.4%,18.5%,8.1,10.8
"Jackson County, GA",County,9292,14.6,4855,7.6,1.9,3.7%,7.0%,3,20.6
"Jones County, GA",County,384,1.3,415,1.5,0.9,7.5%,9.6%,3.3,3.5
"Laurens County, GA",County,-839,-1.8,238,0.5,-3.5,30.0%,10.5%,4.8,3.3
"Lee County, GA",County,927,3.2,1461,5,0.6,10.6%,0.0%,3.3,NA
"Liberty County, GA",County,1066,1.7,2543,4.1,0.4,12.1%,20.3%,7.8,14.8
"Lowndes County, GA",County,-971,-0.9,6836,6,-0.1,21.7%,18.1%,8.3,8.7
"Madison County, GA",County,-265,-0.9,397,1.4,-0.7,1.3%,0.0%,2.3,NA
"Monroe County, GA",County,1369,5.1,1013,3.8,1.4,0.7%,4.9%,2.6,6.2
"Murray County, GA",County,-2352,-6,400,1,-5.9,7.2%,14.2%,3.4,10.2
"Muscogee County, GA",County,-1554,-0.8,4639,2.3,-0.3,33.8%,40.0%,9.2,8.2
"Newton County, GA",County,3901,3.7,2342,2.2,1.7,6.9%,1.0%,13.1,12.5
"Oconee County, GA",County,3821,10.6,2807,7.8,1.4,5.9%,6.3%,2.1,5.3
"Paulding County, GA",County,4130,2.7,8257,5.4,0.5,5.8%,1.3%,11.9,5.3
"Peach County, GA",County,1493,5.5,828,3.1,1.8,12.4%,17.2%,4.9,6
"Pickens County, GA",County,50,0.2,694,2.3,0.1,3.9%,0.3%,13.1,2
"Polk County, GA",County,-665,-1.6,580,1.4,-1.1,14.3%,19.3%,4.1,13.2
"Richmond County, GA",County,4280,2.1,5174,2.6,0.8,20.0%,23.0%,8.3,15.4
"Rockdale County, GA",County,1817,2.1,1309,1.5,1.4,16.2%,2.1%,11.1,4.6
"Spalding County, GA",County,68,0.1,1667,2.6,0,9.8%,2.5%,6.3,3.6
"Stephens County, GA",County,-802,-3.1,155,0.6,-5.2,10.7%,24.1%,2.4,48.3
"Sumter County, GA",County,-1400,-4.6,224,0.7,-6.3,31.5%,11.3%,5.1,2.8
"Thomas County, GA",County,-1308,-2.9,1159,2.6,-1.1,11.0%,28.0%,3.8,10.6
"Tift County, GA",County,985,2.4,783,1.9,1.3,1.9%,29.1%,2.2,8.9
"Toombs County, GA",County,132,0.5,262,1,0.5,25.5%,45.2%,3.6,3.4
"Troup County, GA",County,8526,12.3,1540,2.2,5.5,16.5%,18.3%,9.8,10.9
"Upson County, GA",County,-904,-3.4,220,0.8,-4.1,9.0%,15.2%,2.7,5.3
"Walton County, GA",County,3987,4.5,2941,3.3,1.4,4.3%,3.8%,3.7,2.5
"Ware County, GA",County,666,1.9,926,2.6,0.7,15.9%,0.3%,3.5,2
"Wayne County, GA",County,-755,-2.5,228,0.8,-3.3,24.4%,21.7%,3.5,6.7
"Whitfield County, GA",County,-2386,-2.3,1151,1.1,-2.1,29.1%,20.9%,5.2,4.7
"Hawaii County, HI",County,3725,1.9,8590,4.4,0.4,15.4%,14.8%,7,8.5
"Honolulu County, HI",County,26142,2.6,20463,2.1,1.3,43.6%,52.7%,11,29.7
"Kauai County, HI",County,1995,2.8,2335,3.3,0.9,15.5%,30.9%,7.6,10.2
"Maui County, HI",County,5392,3.3,4840,2.9,1.1,30.5%,32.3%,6.7,5.3
"Ada County, ID",County,35646,8.2,35342,8.1,1,17.6%,21.9%,5.4,8.4
"Bannock County, ID",County,133,0.2,1846,2.2,0.1,16.0%,6.2%,4,3.1
"Bingham County, ID",County,158,0.3,940,2.1,0.2,16.1%,18.0%,4,3.4
"Bonner County, ID",County,86,0.2,684,1.6,0.1,19.7%,36.4%,3.6,6.8
"Bonneville County, ID",County,6182,5.6,5205,4.7,1.2,20.5%,14.2%,5.7,10.9
"Canyon County, ID",County,13043,6.3,11201,5.4,1.2,9.5%,14.2%,5.1,4.7
"Elmore County, ID",County,105,0.4,495,1.9,0.2,22.6%,17.4%,3.1,2.3
"Jefferson County, ID",County,894,3.3,1125,4.1,0.8,4.6%,3.5%,3.4,3.8
"Kootenai County, ID",County,6048,4,12381,8.2,0.5,15.8%,25.5%,4.6,8.2
"Latah County, ID",County,-441,-1.1,1594,4.1,-0.3,52.7%,56.1%,5.3,7.2
"Madison County, ID",County,2351,6.1,3222,8.4,0.7,62.3%,62.6%,7.8,13.2
"Nez Perce County, ID",County,15,0,625,1.6,0,22.3%,27.3%,3.2,4.4
"Twin Falls County, ID",County,4543,5.5,3428,4.2,1.3,20.7%,9.5%,5,4.1
"Adams County, IL",County,-560,-0.8,840,1.3,-0.7,32.6%,29.1%,4.3,3.3
"Boone County, IL",County,3852,7.2,342,0.6,11.3,6.2%,4.6%,4.2,4
"Bureau County, IL",County,-689,-2,253,0.8,-2.7,16.2%,23.6%,3.8,4.8
"Champaign County, IL",County,-1984,-1,8580,4.1,-0.2,39.4%,62.2%,10.5,17.5
"Christian County, IL",County,-1055,-3.1,316,0.9,-3.3,19.0%,0.0%,4.2,NA
"Coles County, IL",County,-473,-0.9,333,0.6,-1.4,51.4%,57.8%,5.4,5
"Cook County, IL",County,90647,1.7,62557,1.2,1.4,54.1%,79.2%,8.7,17.4
"DeKalb County, IL",County,194,0.2,790,0.8,0.2,27.2%,17.5%,5.2,5.6
"DuPage County, IL",County,24776,2.7,11510,1.2,2.2,19.1%,26.0%,12.4,15.4
"Effingham County, IL",County,1726,5.1,510,1.5,3.4,27.2%,40.6%,5.9,10.1
"Fulton County, IL",County,-585,-1.6,483,1.4,-1.2,8.3%,9.6%,3.3,8.1
"Grundy County, IL",County,3454,6.9,1592,3.2,2.2,18.4%,46.9%,3.3,5.8
"Jackson County, IL",County,-1354,-2.3,673,1.1,-2,66.6%,85.4%,5.2,9.5
"Jefferson County, IL",County,700,1.8,119,0.3,5.9,31.9%,31.0%,16.3,6.3
"Kane County, IL",County,5513,1,12011,2.3,0.5,16.0%,17.6%,6.3,14.8
"Kankakee County, IL",County,1240,1.1,1070,1,1.2,23.5%,12.9%,4.2,6
"Kendall County, IL",County,4353,3.5,2847,2.3,1.5,16.3%,13.4%,3.7,11.1
"Knox County, IL",County,-2178,-4.2,208,0.4,-10.5,11.1%,2.1%,11.4,2
"Lake County, IL",County,5349,0.8,8344,1.2,0.6,18.1%,25.0%,9,15.2
"La Salle County, IL",County,-1761,-1.6,1012,0.9,-1.7,15.5%,25.4%,3.2,6
"Lee County, IL",County,361,1,298,0.9,1.2,22.6%,19.8%,8.8,10.3
"Livingston County, IL",County,-1729,-4.7,259,0.7,-6.7,22.2%,29.7%,4.1,4.9
"Logan County, IL",County,162,0.5,126,0.4,1.3,16.9%,19.3%,3.5,8.3
"McDonough County, IL",County,-1833,-5.8,112,0.4,-16.4,76.1%,76.5%,6.9,6.9
"McHenry County, IL",County,-4763,-1.5,4767,1.5,-1,11.6%,20.7%,5.2,8.7
"McLean County, IL",County,-3106,-1.8,4274,2.5,-0.7,32.3%,37.1%,8.6,12
